feature,mean_std,mean_wt,mean_diff,t_stat,p_value,significant,category,model
Size,0.0007399769993479599,0.00021827447326458192,-0.0005217025260833779,-16.35304103000569,2.3996788077422224e-43,True,illiquidity,xgboost
Price,0.0011863414589444816,0.0004712564344974582,-0.0007150850244470233,-12.46574413582692,5.463577934853778e-29,True,illiquidity,xgboost
ConvDebt,0.0015979690624448161,0.0009257070483795986,-0.0006722620140652174,-10.874970538108606,2.024235264671575e-23,True,other,xgboost
ChTax,0.00016401831671210702,5.373423840682274e-05,-0.00011028407830528428,-10.28053375356124,2.0354376845244394e-21,True,other,xgboost
MaxRet,0.0004823941553574247,0.00018468832423073576,-0.00029770583112668895,-10.182855133655654,4.2939053687929094e-21,True,illiquidity,xgboost
AnnouncementReturn,0.0005270614248508496,0.0002482850948838127,-0.00027877632996703677,-9.823326580876074,6.508165669925202e-20,True,tradable,xgboost
STreversal,0.0009770055354795988,0.00039591141609170567,-0.000581094119387893,-9.19668383483143,6.607139546688422e-18,True,tradable,xgboost
BMdec,2.4250818593371236e-05,1.1165433882541805e-05,-1.3085384710829432e-05,-8.694861503431506,2.3733990380525733e-16,True,tradable,xgboost
IndIPO,0.00479894578609699,0.0038882247372240804,-0.0009107210488729097,-8.242764000113729,5.414516088482041e-15,True,other,xgboost
ChEQ,1.5609368498127092e-05,6.665569869879599e-06,-8.943798628247492e-06,-8.179648638440117,8.312583391390268e-15,True,other,xgboost
RoE,3.826111918e-05,1.318345432054515e-05,-2.5077664859454852e-05,-8.022049563516429,2.4033116916294683e-14,True,tradable,xgboost
EarningsSurprise,0.00010349934029053512,2.4067069919197326e-05,-7.94322703713378e-05,-7.920668461708574,4.725945271007418e-14,True,tradable,xgboost
DelFINL,3.785826813329097e-05,1.636190669232107e-05,-2.14963614409699e-05,-7.813749948686898,9.58696378736276e-14,True,other,xgboost
AssetGrowth,0.00012045608082520067,1.9340215186280935e-05,-0.00010111586563891973,-7.759114661218305,1.3729076220120943e-13,True,tradable,xgboost
ShareIss1Y,0.00016380660620719066,6.099275223489966e-05,-0.00010281385397229097,-7.311549249907937,2.44687004916206e-12,True,tradable,xgboost
ResidualMomentum,2.5321680919498327e-05,9.862444769802676e-06,-1.5459236149695653e-05,-7.07528058477887,1.0694398726612066e-11,True,tradable,xgboost
ChNNCOA,9.630445766361204e-06,5.110217450220735e-06,-4.520228316140468e-06,-7.001579601104532,1.6829114664252955e-11,True,other,xgboost
DelEqu,5.412658210540467e-05,2.0044601700635456e-05,-3.408198040476923e-05,-6.896924483463329,3.1860112555042566e-11,True,other,xgboost
DolVol,0.00016042827971675586,8.649720487290969e-05,-7.393107484384616e-05,-6.78371625832994,6.307399543303468e-11,True,illiquidity,xgboost
Mom12m,0.0005962677405397993,0.0003666592484885953,-0.000229608492051204,-6.628029511994298,1.5928077217167335e-10,True,tradable,xgboost
VolSD,9.535384889785952e-05,2.881137035682274e-05,-6.65424785410368e-05,-6.539892308101569,2.673073081600102e-10,True,illiquidity,xgboost
IdioVol3F,0.0006271562952385953,0.00041204985106035457,-0.00021510644417824075,-6.536843931547256,2.72113160214096e-10,True,illiquidity,xgboost
AM,9.353916617702342e-05,3.4157205481638796e-05,-5.938196069538461e-05,-6.499630597611697,3.380761733441705e-10,True,other,xgboost
Herf,0.00022445338515173917,0.00014604355523393646,-7.840982991780268e-05,-6.394595073591224,6.208876241517191e-10,True,other,xgboost
cfp,0.00037629393412006687,0.00019382310348461536,-0.0001824708306354515,-6.365748528811365,7.327883420952367e-10,True,tradable,xgboost
MomSeason,0.00029564123167720734,0.0001529434161587057,-0.00014269781551850167,-6.3253993513580475,9.231003598866108e-10,True,tradable,xgboost
LRreversal,0.0001030312857419398,4.465073064844482e-05,-5.838055509349498e-05,-6.2692429410592,1.2706833910928886e-09,True,tradable,xgboost
InvestPPEInv,5.1997702379966557e-05,3.222209315193979e-05,-1.9775609228026757e-05,-6.268183619809601,1.2783413841844884e-09,True,tradable,xgboost
DelNetFin,8.137676636521739e-06,4.727577910615384e-06,-3.4100987259063546e-06,-6.21301468316286,1.7462531233301848e-09,True,other,xgboost
IndMom,0.0007371443218527023,0.00041453989428680266,-0.00032260442756589967,-6.169419542772839,2.231183026111072e-09,True,tradable,xgboost
RevenueSurprise,2.073326596438127e-05,5.607933788558529e-06,-1.5125332175822742e-05,-6.010168342024732,5.403274091958091e-09,True,tradable,xgboost
dNoa,7.381944413040134e-05,3.518276195872575e-05,-3.8636682171675594e-05,-5.863099714690732,1.2045244597621452e-08,True,tradable,xgboost
NOA,0.00015837029716705685,0.0001059859030323144,-5.238439413474247e-05,-5.724193021220462,2.5337060074518775e-08,True,tradable,xgboost
BPEBM,2.9374328455785953e-05,1.4642088060344481e-05,-1.473224039544147e-05,-5.675070732303924,3.2852762422561954e-08,True,tradable,xgboost
Mom6m,0.0002893681391438127,0.00015246059473636792,-0.00013690754440744482,-5.662082621320352,3.5178614125123855e-08,True,tradable,xgboost
zerotrade6M,0.00015047360764127089,8.316391344618729e-05,-6.730969419508362e-05,-5.495006348574218,8.391385697090489e-08,True,illiquidity,xgboost
Accruals,8.473995155351169e-06,5.941532786237458e-06,-2.532462369113712e-06,-5.271545947624259,2.6020467222176045e-07,True,tradable,xgboost
EquityDuration,3.777705294091639e-05,1.6627524438541807e-05,-2.1149528502374578e-05,-5.266559724433882,2.6674942106003764e-07,True,tradable,xgboost
CBOperProf,0.0001450329701448428,7.272194815050169e-05,-7.231102199434114e-05,-5.214333707664172,3.456445739922045e-07,True,tradable,xgboost
TotalAccruals,9.992183661438128e-06,6.047153512374582e-06,-3.945030149063545e-06,-5.1685327205627605,4.3311277318385125e-07,True,tradable,xgboost
ChInv,1.4378445221505015e-05,7.136856988354514e-06,-7.2415882331505e-06,-5.110381773445171,5.754754788324226e-07,True,tradable,xgboost
CoskewACX,5.1838609328364546e-05,3.747692036153846e-05,-1.4361688966826087e-05,-5.1042942283579515,5.927686001134532e-07,True,other,xgboost
zerotrade12M,0.00010755048809397992,3.485607922521739e-05,-7.269440886876253e-05,-5.03541795869258,8.270658106355995e-07,True,illiquidity,xgboost
BookLeverage,7.899669907110367e-05,4.2976902883963215e-05,-3.601979618714047e-05,-5.02454001677114,8.714580926080888e-07,True,tradable,xgboost
DelCOA,1.1815171061234113e-05,6.11815206979933e-06,-5.697018991434782e-06,-4.822092195543525,2.2689629032434546e-06,True,other,xgboost
CashProd,0.00010124676938617392,6.060278093657525e-05,-4.064398844959867e-05,-4.430222064369874,1.3238088127928736e-05,True,tradable,xgboost
DelLTI,0.00018783823191501672,9.060979863429766e-05,-9.722843328071907e-05,-4.295371889414407,2.3630517221644805e-05,True,other,xgboost
Investment,4.716101577963211e-06,1.6125635147735786e-05,1.1409533569772575e-05,4.265054859816343,2.6865494156974642e-05,True,tradable,xgboost
EBM,0.0001154388966263311,7.860979199923077e-05,-3.6829104627100335e-05,-3.891706574597208,0.00012285115837936815,True,tradable,xgboost
OPLeverage,4.390146818180602e-05,2.334525390643478e-05,-2.0556214275371238e-05,-3.8388878209069173,0.00015095724691419356,True,tradable,xgboost
MomSeasonShort,8.537348141725754e-05,7.49039164771572e-05,-1.0469564940100335e-05,-3.665977132712651,0.00029166185760322593,True,tradable,xgboost
ReturnSkew,3.3434178170117066e-05,2.9066226168066892e-05,-4.367952002050168e-06,-3.540788911252372,0.00046274334471161347,True,other,xgboost
ChNWC,8.430401619719065e-06,6.565523486538461e-06,-1.864878133180602e-06,-3.3494929253624828,0.0009137458341174143,True,other,xgboost
zerotrade1M,0.00016463679355923077,0.00010618870836481606,-5.844808519441473e-05,-2.964951532591338,0.0032719097876969987,True,illiquidity,xgboost
DivInit,0.0057243986370568555,0.005003500078060201,-0.0007208985589966556,-2.9232552845725697,0.003729370218773201,True,other,xgboost
Tax,0.00020279784169265555,0.0001657310961840435,-3.706674550861204e-05,-2.8377710338844673,0.00485475347593992,True,other,xgboost
IdioVolAHT,0.000829774003961271,0.0006750146067499999,-0.0001547593972112709,-2.6689593241252774,0.008025563458480241,True,illiquidity,xgboost
ReturnSkew3F,5.8133798359244146e-05,6.531703164147492e-05,7.183233282230769e-06,2.585375172847748,0.010202214970350069,True,other,xgboost
