model,cell,net_SR_100M,net_SR_500M,net_SR_1B,net_SR_5B,breakeven_aum,h4_uplift
xgboost,1A,-0.1236827287015082,-0.22361027324935595,-0.29850292566454245,-0.6133159562456281,0.0,
xgboost,1B,-0.01488889372803113,-0.09033007972041016,-0.1469189672953749,-0.3856132662762209,0.0,
xgboost,2A,-1.1897028366552072,-1.2964412921464095,-1.3746631142629495,-1.6873135274990037,0.0,
xgboost,2B,-1.057546261882449,-1.1365373014858045,-1.1948486666181688,-1.4320248275228613,0.0,
random_forest,1A,-0.48909002376958444,-0.587089787314723,-0.6608334020810028,-0.9744535195304453,0.0,
random_forest,1B,-0.43173462831278137,-0.5041485341522812,-0.5585825770098725,-0.789708748012971,0.0,
random_forest,2A,-0.3705920659346134,-0.4501090779990361,-0.509855060612251,-0.7632057486262349,0.0,
random_forest,2B,-0.34800153006310725,-0.4089078620314902,-0.4546446521590277,-0.6484389662755741,0.0,
neural_network,1A,-0.9606585813518803,-1.2903169190361305,-1.5328137191787408,-2.4597663560044865,0.0,
neural_network,1B,-0.8840450653426631,-1.1164750014084808,-1.2894350612669638,-1.9902123883001608,0.0,
neural_network,2A,-1.1199877329521564,-1.431579840092857,-1.6604357215635437,-2.544623246376781,0.0,
neural_network,2B,-1.062277553707261,-1.2835258669570127,-1.4475865415433373,-2.1120626673308758,0.0,
