model,cell,net_SR_100M,net_SR_500M,net_SR_1B,net_SR_5B,breakeven_aum,h4_uplift
xgboost,1A,-0.1366643222135375,-0.2788672345712979,-0.3838967429678428,-0.8072139108927272,0.0,
xgboost,1B,-0.11324552426467666,-0.21421674356157225,-0.28911846366774013,-0.5960603729480821,0.0,
xgboost,2A,0.017807696618524944,-0.11878156009011205,-0.2204555709418227,-0.6375148101828478,123346707.32153077,
xgboost,2B,0.06080842773184731,-0.037197146057586616,-0.11030951037276882,-0.41373864826270795,271445183.6582056,
random_forest,1A,0.21468944414767518,0.1061864233187948,0.02524464229425601,-0.3110177249104917,1128430050.820966,
random_forest,1B,0.23955129951836496,0.15990369434575133,0.10040580903272056,-0.14816771256333514,1915726761.2193332,
random_forest,2A,0.10201082279858772,0.0002414322757187393,-0.07548015542406174,-0.3885315059788382,501106244.3749878,
random_forest,2B,0.134235067274932,0.06124971564232314,0.006818781144985052,-0.21989567594575385,1049597005.4675784,0.9301391829329304
neural_network,1A,-0.9606585813518803,-1.2903169190361305,-1.5328137191787408,-2.4597663560044865,0.0,
neural_network,1B,-0.8840450653426631,-1.1164750014084808,-1.2894350612669638,-1.9902123883001608,0.0,
neural_network,2A,-1.1199877329521564,-1.431579840092857,-1.6604357215635437,-2.544623246376781,0.0,
neural_network,2B,-1.062277553707261,-1.2835258669570127,-1.4475865415433373,-2.1120626673308758,0.0,
